Handle,Title,Body HTML,Vendor,Product Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Weight,Variant Weight Unit,Image Src,Image Position,Image Alt Text
wireless-charging-pad,"Wireless Charging Pad","<p>Fast 15W wireless charging pad compatible with all Qi-enabled devices. Sleek non-slip surface.</p>",ChargeTech,Electronics,"charger,wireless,qi,electronics",TRUE,WCP-201,27.99,34.99,TRUE,TRUE,shopify,45,deny,manual,0.2,kg,https://images.unsplash.com/photo-1586816879360-004f5b0c51e5,1,"Wireless charging pad"
noise-cancelling-headphones,"Noise Cancelling Headphones","<p>Over-ear headphones with active noise cancellation and 30-hour battery life. Immersive sound for travel and work.</p>",AudioPeak,Electronics,"headphones,audio,noise cancelling,wireless",TRUE,NCH-202,149.99,189.99,TRUE,TRUE,shopify,20,deny,manual,0.3,kg,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,1,"Noise cancelling headphones"
usb-c-hub-adapter,"USB-C Hub Adapter","<p>7-in-1 USB-C hub with HDMI, USB 3.0 ports, SD card reader and power delivery. Expand your laptop connectivity.</p>",PortPro,Electronics,"usb-c,hub,adapter,electronics",TRUE,UCH-203,39.99,49.99,TRUE,TRUE,shopify,38,deny,manual,0.12,kg,https://images.unsplash.com/photo-1591488320449-011701bb6704,1,"USB-C hub adapter"
mechanical-keyboard,"Mechanical Keyboard","<p>Compact mechanical keyboard with tactile switches and RGB backlighting. Built for typing and gaming.</p>",KeyForge,Electronics,"keyboard,mechanical,rgb,gaming",TRUE,MKB-204,89.99,109.99,TRUE,TRUE,shopify,16,deny,manual,0.9,kg,https://images.unsplash.com/photo-1587829741301-dc798b83add3,1,"Mechanical keyboard"
hd-webcam-1080p,"HD Webcam 1080p","<p>Full HD 1080p webcam with autofocus and built-in noise-reducing microphone. Ideal for video calls and streaming.</p>",ViewClear,Electronics,"webcam,1080p,camera,electronics",TRUE,HDW-205,54.99,69.99,TRUE,TRUE,shopify,29,deny,manual,0.15,kg,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6,1,"HD webcam 1080p"
portable-power-bank,"Portable Power Bank","<p>20000mAh power bank with dual USB outputs and fast charging. Keep your devices powered on the go.</p>",VoltGo,Electronics,"power bank,battery,portable,charger",TRUE,PPB-206,32.99,42.99,TRUE,TRUE,shopify,50,deny,manual,0.4,kg,https://images.unsplash.com/photo-1609592424823-8d6c4f6f5c4a,1,"Portable power bank"
smart-led-bulb,"Smart LED Bulb","<p>Wi-Fi smart LED bulb with 16 million colors and voice assistant support. Control lighting from your phone.</p>",GlowSmart,Electronics,"led,smart,bulb,lighting",TRUE,SLB-207,18.99,24.99,TRUE,TRUE,shopify,70,deny,manual,0.1,kg,https://images.unsplash.com/photo-1550985616-10810253b84d,1,"Smart LED bulb"
bluetooth-earbuds,"Bluetooth Earbuds","<p>True wireless earbuds with touch controls and a compact charging case. Crisp sound and secure fit.</p>",SonicBuds,Electronics,"earbuds,bluetooth,wireless,audio",TRUE,BTE-208,59.99,74.99,TRUE,TRUE,shopify,42,deny,manual,0.06,kg,https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46,1,"Bluetooth earbuds"
gaming-mouse-rgb,"Gaming Mouse RGB","<p>Ergonomic gaming mouse with adjustable DPI and programmable buttons. Customizable RGB lighting.</p>",ClickForge,Electronics,"mouse,gaming,rgb,electronics",TRUE,GMR-209,44.99,54.99,TRUE,TRUE,shopify,31,deny,manual,0.13,kg,https://images.unsplash.com/photo-1527814050087-3793815479db,1,"Gaming mouse RGB"
adjustable-laptop-stand,"Adjustable Laptop Stand","<p>Aluminum laptop stand with adjustable height and angle. Improves posture and airflow for your device.</p>",DeskRise,Electronics,"laptop stand,aluminum,ergonomic,desk",TRUE,ALS-210,36.99,46.99,TRUE,TRUE,shopify,27,deny,manual,0.8,kg,https://images.unsplash.com/photo-1593642632823-8f785ba67e45,1,"Adjustable laptop stand"
